#Release 14.1 - par P.15xf (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Mon Jan 23 18:30:29 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_alu_map.ncd
#OUTPUT FILE:      my_alu_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P26,A<28>,IBUF,IO_L08N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P27,,,GND,,,,,,,,,,,,
P28,,,VCCO_3,,,3,,,,,2.50,,,,
P29,A<13>,IBUF,IO,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P30,,,VCCAUX,,,,,,,,2.5,,,,
P31,B<31>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P32,A<16>,IBUF,IO_L09P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P33,A<24>,IBUF,IO_L09N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P34,A<1>,IBUF,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P35,B<28>,IBUF,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P36,B<0>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P37,,,GND,,,,,,,,,,,,
P38,A<4>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P39,A<0>,IBUF,IO_L01P_2/CSO_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P40,A<23>,IBUF,IO_L01N_2/INIT_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P41,B<2>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,2.50,,,,
P43,B<23>,IBUF,IO_L02P_2/DOUT/BUSY,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P44,B<26>,IBUF,IO_L02N_2/MOSI/CSI_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P45,,,VCCINT,,,,,,,,1.2,,,,
P46,,,GND,,,,,,,,,,,,
P47,B<29>,IBUF,IP_L03P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P48,A<2>,IBUF,IP_L03N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P49,,,VCCO_2,,,2,,,,,2.50,,,,
P50,B<27>,IBUF,IO_L04P_2/D7/GCLK12,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P51,A<29>,IBUF,IO_L04N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P52,B<25>,IBUF,IO/D5,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P53,B<15>,IBUF,IO_L05P_2/D4/GCLK14,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P54,B<20>,IBUF,IO_L05N_2/D3/GCLK15,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P55,,,GND,,,,,,,,,,,,
P56,B<16>,IBUF,IP_L06P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P57,B<12>,IBUF,IP_L06N_2/M2/GCLK1,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P58,A<3>,IBUF,IO_L07P_2/D2/GCLK2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P59,B<19>,IBUF,IO_L07N_2/D1/GCLK3,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P60,B<13>,IBUF,IO/M1,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P61,,,GND,,,,,,,,,,,,
P62,A<26>,IBUF,IO_L08P_2/M0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P63,overflow,IOB,IO_L08N_2/DIN/D0,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P64,,,VCCO_2,,,2,,,,,2.50,,,,
P65,,,VCCAUX,,,,,,,,2.5,,,,
P66,A<6>,IBUF,IP/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P67,opcode<2>,IBUF,IO_L09P_2/VS2/A19,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P68,B<5>,IBUF,IO_L09N_2/VS1/A18,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P69,,IBUF,IP,UNUSED,,2,,,,,,,,,
P70,,DIFFM,IO_L10P_2/VS0/A17,UNUSED,,2,,,,,,,,,
P71,,DIFFS,IO_L10N_2/CCLK,UNUSED,,2,,,,,,,,,
P72,,,DONE,,,,,,,,,,,,
P73,,,GND,,,,,,,,,,,,
P74,,DIFFM,IO_L01P_1/A16,UNUSED,,1,,,,,,,,,
P75,A<5>,IBUF,IO_L01N_1/A15,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P76,B<11>,IBUF,IO_L02P_1/A14,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P77,A<8>,IBUF,IO_L02N_1/A13,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P78,A<27>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P79,,,VCCO_1,,,1,,,,,2.50,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,B<24>,IBUF,IO_L03P_1/A12,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P82,B<1>,IBUF,IO_L03N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P83,result<5>,IOB,IO/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P84,A<30>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P85,result<2>,IOB,IO_L04P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P86,result<8>,IOB,IO_L04N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P87,B<17>,IBUF,IO_L05P_1/A8/RHCLK2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P88,B<8>,IBUF,IO_L05N_1/A7/RHCLK3/TRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P89,B<9>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P90,,,GND,,,,,,,,,,,,
P91,A<10>,IBUF,IO_L06P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P92,B<7>,IBUF,IO_L06N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P93,result<27>,IOB,IO_L07P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P94,result<12>,IOB,IO_L07N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P95,opcode<1>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P96,A<18>,IBUF,IO_L08P_1/A2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P97,B<22>,IBUF,IO_L08N_1/A1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P98,result<10>,IOB,IO/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P99,,,GND,,,,,,,,,,,,
P100,,,VCCO_1,,,1,,,,,2.50,,,,
P101,reset,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P102,,,VCCAUX,,,,,,,,2.5,,,,
P103,A<19>,IBUF,IO_L09P_1/HDC,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P104,result<22>,IOB,IO_L09N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P105,result<25>,IOB,IO_L10P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P106,result<16>,IOB,IO_L10N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P107,opcode<0>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P108,,,TMS,,,,,,,,,,,,
P109,,,TDO,,,,,,,,,,,,
P110,,,TCK,,,,,,,,,,,,
P111,B<3>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P112,result<21>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P113,result<31>,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P114,A<7>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P115,,,VCCINT,,,,,,,,1.2,,,,
P116,result<11>,IOB,IO_L02P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P117,result<30>,IOB,IO_L02N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P118,,,GND,,,,,,,,,,,,
P119,B<4>,IBUF,IP_L03P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P120,A<9>,IBUF,IP_L03N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P121,,,VCCO_0,,,0,,,,,2.50,,,,
P122,result<9>,IOB,IO_L04P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P123,result<13>,IOB,IO_L04N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P124,result<1>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P125,result<29>,IOB,IO_L05P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P126,result<26>,IOB,IO_L05N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P127,,,GND,,,,,,,,,,,,
P128,B<6>,IBUF,IP_L06P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P129,clk,IBUF,IP_L06N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P130,result<14>,IOB,IO_L07P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P131,result<23>,IOB,IO_L07N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P132,result<15>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P133,,,GND,,,,,,,,,,,,
P134,result<24>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P135,result<17>,IOB,IO_L08N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P136,A<25>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P137,,,VCCAUX,,,,,,,,2.5,,,,
P138,,,VCCO_0,,,0,,,,,2.50,,,,
P139,result<18>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P140,result<19>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P141,B<18>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P142,result<28>,IOB,IO_L10P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P143,result<0>,IOB,IO_L10N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P144,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
